Record_ID,Sensor_ID,Road_Segment_ID,Intersection_ID,Timestamp,Day_of_Week,Hour_of_Day,Weekend_Flag,Traffic_Volume,Vehicle_Speed_kmph,Road_Occupancy_Percent,Vehicle_Density,Travel_Time_sec,Queue_Length_m,Lane_Count,Lane_Utilization_Percent,Signal_Delay_sec,Weather_Condition,Temperature_C,Humidity_Percent,Visibility_m,Road_Surface,GPS_Vehicle_Count,IoT_Device_Count,Camera_Detection_Count,Incident_Flag,Special_Event,Historical_Flow_5min,Historical_Flow_10min,Historical_Flow_15min,Congestion_Level,Future_Traffic_Flow
1142,SEN_121,RS_033,INT_045,01/01/2024 19:01,Monday,19,No,838,71.2,42.62,43.07,148.62,94.69,5,8.34,48.42,Cloudy,41.9,59.1,3802,Dry,273,29,131,No,No,852,678,810,Moderate,Medium Flow
1143,SEN_091,RS_065,INT_036,01/01/2024 19:02,Monday,19,No,978,60.17,50.4,50.36,150.19,116.38,5,8.53,66.06,Clear,30.2,52.9,6870,Dry,304,8,683,Yes,No,982,1127,1057,High,High Flow
1144,SEN_039,RS_074,INT_009,01/01/2024 19:03,Monday,19,No,322,79.24,21.27,24.56,101.63,48.21,4,5,33.66,Clear,16.7,54.3,9335,Wet,440,15,653,No,No,291,269,284,Low,Low Flow
1145,SEN_116,RS_003,INT_016,01/01/2024 19:04,Monday,19,No,622,84.81,36.89,35.44,129.75,79.53,5,9.74,39.58,Windy,29.2,70.4,8056,Dry,268,2,1022,No,No,555,452,631,Moderate,Medium Flow
1146,SEN_134,RS_054,INT_014,01/01/2024 19:05,Monday,19,No,1143,60.93,55.96,68.72,168.79,147.73,4,16.25,74.58,Clear,28.9,58.2,7852,Dry,126,8,596,No,No,1228,1006,1342,High,High Flow
1147,SEN_121,RS_042,INT_037,01/01/2024 19:06,Monday,19,No,308,77.37,18.2,17.39,73.91,27.58,6,5,14.36,Cloudy,28,57.4,1193,Dry,111,13,737,No,No,352,140,209,Low,Low Flow
1148,SEN_003,RS_004,INT_016,01/01/2024 19:07,Monday,19,No,627,72.47,39.39,34.9,114.53,61.76,4,8.96,16.51,Clear,15.3,51.1,9349,Wet,370,17,499,No,No,615,695,709,Moderate,Medium Flow
1149,SEN_009,RS_060,INT_041,01/01/2024 19:08,Monday,19,No,999,61.68,44.86,60.86,172.55,133.38,3,20.03,67.69,Clear,18.8,83.6,9639,Dry,297,6,1510,No,No,919,1122,1170,High,High Flow
1150,SEN_081,RS_013,INT_011,01/01/2024 19:09,Monday,19,No,1326,62.23,63.26,75.16,203.78,143.6,3,20.7,80.86,Fog,20.5,40.6,2927,Dry,203,29,1529,No,No,1411,1235,1128,High,High Flow
1151,SEN_104,RS_043,INT_012,01/01/2024 19:10,Monday,19,No,85,87.81,5,6.17,61.15,10.37,4,5,0,Rain,38.6,69.3,7761,Dry,180,6,300,No,No,50,148,50,Low,Low Flow
1152,SEN_071,RS_007,INT_045,01/01/2024 19:11,Monday,19,No,1425,62.53,68.09,77.55,211.89,159.63,4,18.94,86.86,Rain,18.3,93.2,6415,Dry,208,25,1282,No,No,1330,1360,1492,Severe,Very High Flow
1153,SEN_112,RS_049,INT_038,01/01/2024 19:12,Monday,19,No,547,66.59,28.38,33.87,116.68,59.17,2,12.73,30.36,Rain,26.8,42.6,3672,Dry,234,24,753,Yes,No,559,488,746,Moderate,Medium Flow
1154,SEN_098,RS_002,INT_005,01/01/2024 19:13,Monday,19,No,154,85.41,5,8.26,78.28,15.56,3,5,4.63,Cloudy,31.2,57.1,1951,Wet,441,24,1374,No,No,219,111,63,Low,Low Flow
1155,SEN_004,RS_013,INT_025,01/01/2024 19:14,Monday,19,No,83,83.05,6.34,5,64.68,14.09,2,9.61,0,Rain,21.6,76.7,5056,Dry,60,26,866,No,No,186,50,246,Low,Low Flow
1156,SEN_057,RS_051,INT_027,01/01/2024 19:15,Monday,19,No,725,66.32,33.89,48.89,147.06,79.62,3,13.64,44.51,Clear,22.5,58,3567,Dry,349,10,932,No,No,816,695,495,Moderate,Medium Flow
1157,SEN_060,RS_075,INT_008,01/01/2024 19:16,Monday,19,No,197,81.53,9.54,9.75,91.99,21.02,3,5,17.87,Clear,34.9,30.7,527,Wet,146,21,1237,No,No,295,253,170,Low,Low Flow
1158,SEN_034,RS_022,INT_014,01/01/2024 19:17,Monday,19,No,960,58.3,42.16,50.17,146.02,87.16,4,10.97,51.01,Rain,36.8,76,7444,Dry,230,23,1106,No,No,1010,1020,1168,High,High Flow
1159,SEN_074,RS_072,INT_003,01/01/2024 19:18,Monday,19,No,1709,51.55,84.94,99.49,231.56,194.84,3,24.84,104.14,Clear,34.1,76.6,8341,Dry,66,15,1029,No,No,1644,1561,1748,Severe,Very High Flow
1160,SEN_041,RS_045,INT_036,01/01/2024 19:19,Monday,19,No,583,81.88,37.55,35.1,128.52,69.09,2,19.03,30.47,Clear,40.7,79,4339,Dry,146,22,870,No,No,607,730,658,Moderate,Medium Flow
1161,SEN_142,RS_064,INT_033,01/01/2024 19:20,Monday,19,No,1026,63.1,49.3,54.35,165.62,88.09,3,15.67,39.65,Rain,22.7,63.1,6348,Dry,244,9,1499,Yes,No,914,931,1197,High,High Flow
1162,SEN_088,RS_074,INT_029,01/01/2024 19:21,Monday,19,No,653,68.5,21.59,35.96,112.67,68.57,4,5,35.27,Clear,42,49.7,7107,Wet,170,12,657,No,No,703,592,666,Moderate,Medium Flow
1163,SEN_021,RS_075,INT_020,01/01/2024 19:22,Monday,19,No,1544,41.79,83.27,88.45,222.16,162.77,2,38.12,86.62,Rain,16.6,80.7,1462,Dry,110,29,568,No,No,1480,1667,1302,Severe,Very High Flow
1164,SEN_136,RS_037,INT_040,01/01/2024 19:23,Monday,19,No,273,86.65,16.36,16.01,93.11,17.84,4,5,8.5,Rain,22.4,47.4,6270,Wet,219,9,1573,No,No,169,176,66,Low,Low Flow
1165,SEN_120,RS_028,INT_022,01/01/2024 19:24,Monday,19,No,926,65.34,46.77,54.59,172.22,109.13,2,23.36,51.84,Clear,28.9,43.1,6215,Wet,106,5,839,No,No,830,874,837,High,High Flow
1166,SEN_126,RS_029,INT_009,01/01/2024 19:25,Monday,19,No,794,66.45,42.54,44.08,136.13,98.59,3,14.01,51.3,Cloudy,24.4,47.4,3153,Dry,336,2,1685,No,No,715,664,814,Moderate,Medium Flow
1167,SEN_087,RS_001,INT_050,01/01/2024 19:26,Monday,19,No,1495,50.53,75.16,86.33,226.17,180.55,5,15.58,84.59,Clear,18.7,46.5,7890,Wet,411,17,378,No,No,1511,1511,1657,Severe,Very High Flow
1168,SEN_035,RS_009,INT_025,01/01/2024 19:27,Monday,19,No,1129,63.09,64.67,61.49,171.97,116.31,4,14.54,55.19,Clear,36,52.7,6857,Dry,56,10,869,No,No,1210,1030,1037,High,High Flow
1169,SEN_118,RS_051,INT_037,01/01/2024 19:28,Monday,19,No,1538,45.13,80.66,82.86,206.75,154.36,6,11.23,79.32,Rain,22.1,94.6,1317,Dry,440,6,1657,No,No,1613,1526,1362,Severe,Very High Flow
1170,SEN_003,RS_064,INT_035,01/01/2024 19:29,Monday,19,No,252,78.08,10.32,18.21,86.84,34.61,3,5.79,25.69,Rain,32.2,37,5650,Wet,78,12,147,No,Yes,326,264,372,Low,Low Flow
1171,SEN_035,RS_050,INT_009,01/01/2024 19:30,Monday,19,No,1403,41.99,77.61,79.11,206.37,166.05,2,39.63,91.87,Rain,34,58.5,4496,Dry,69,8,461,No,Yes,1333,1413,1404,Severe,Very High Flow
1172,SEN_107,RS_029,INT_050,01/01/2024 19:31,Monday,19,No,1748,41.56,96.5,99.86,230.4,204.43,2,50.1,105.52,Cloudy,18.5,89.4,6958,Dry,319,26,510,No,No,1800,1692,1800,Severe,Very High Flow
1173,SEN_026,RS_013,INT_031,01/01/2024 19:32,Monday,19,No,405,91.43,24.8,27.4,100.58,44.82,6,8.4,13.63,Clear,16.4,30.4,5852,Dry,116,12,1094,No,No,308,417,442,Low,Low Flow
1174,SEN_123,RS_026,INT_046,01/01/2024 19:33,Monday,19,No,1513,40.11,77.68,81.77,212.02,159.27,4,19.09,84.52,Windy,41.3,89.5,3072,Dry,389,22,1407,No,No,1588,1501,1727,Severe,Very High Flow
1175,SEN_111,RS_001,INT_003,01/01/2024 19:34,Monday,19,No,1221,61.71,56.78,69.96,200.71,132.34,3,15.41,66.86,Rain,36.2,36.6,2771,Wet,444,5,551,No,No,1137,1205,1436,High,High Flow
1176,SEN_086,RS_077,INT_025,01/01/2024 19:35,Monday,19,No,915,59.8,49.18,60.11,156.85,92.77,3,13.7,50.16,Rain,25.3,58.9,4748,Wet,187,10,917,No,No,910,891,913,High,High Flow
1177,SEN_120,RS_074,INT_048,01/01/2024 19:36,Monday,19,No,803,64.21,42.09,43.97,133.29,98.91,4,8.21,45.86,Rain,34.5,44.3,7642,Dry,441,12,1560,No,No,811,624,819,Moderate,Medium Flow
1178,SEN_010,RS_015,INT_036,01/01/2024 19:37,Monday,19,No,304,86.8,15.07,12.06,84.06,29.74,4,5,17.26,Fog,35.1,73.1,9561,Dry,126,28,927,No,No,392,296,80,Low,Low Flow
1179,SEN_146,RS_051,INT_027,01/01/2024 19:38,Monday,19,No,611,71.01,34.05,37.23,122.6,89.62,3,10.54,51.02,Cloudy,36.2,94,7723,Dry,106,3,1455,No,No,569,575,413,Moderate,Medium Flow
1180,SEN_072,RS_069,INT_038,01/01/2024 19:39,Monday,19,No,192,86,10.04,5,53.96,23.75,4,5.33,8.76,Rain,37,80.5,3857,Wet,397,12,1083,No,No,293,138,202,Low,Low Flow
1181,SEN_144,RS_032,INT_002,01/01/2024 19:40,Monday,19,No,219,85.12,13.69,7.78,67.16,17.34,3,5,14.88,Clear,27.5,78.9,5587,Dry,33,12,149,No,No,142,276,333,Low,Low Flow
1182,SEN_138,RS_038,INT_048,01/01/2024 19:41,Monday,19,No,638,67.73,37.08,35.47,127.76,81.22,4,8.35,36.13,Cloudy,24.4,60.4,4051,Dry,427,11,337,No,No,527,552,579,Moderate,Medium Flow
1183,SEN_093,RS_076,INT_007,01/01/2024 19:42,Monday,19,No,80,93.08,5,5,66.76,7.5,5,5,10.94,Cloudy,25.2,67.4,710,Wet,224,18,1230,No,No,127,50,94,Low,Low Flow
1184,SEN_145,RS_043,INT_013,01/01/2024 19:43,Monday,19,No,169,84.8,5,10.14,81.19,23.57,2,5,11.57,Cloudy,27.4,64.7,3079,Wet,338,16,374,No,No,256,338,50,Low,Low Flow
1185,SEN_020,RS_027,INT_050,01/01/2024 19:44,Monday,19,No,733,60.73,32.09,49.55,138.28,93.85,4,7.8,42.56,Clear,23.4,53.9,446,Dry,372,19,514,No,Yes,628,667,518,Moderate,Medium Flow
1186,SEN_149,RS_037,INT_045,01/01/2024 19:45,Monday,19,No,399,73.25,29.65,22.51,103.2,45.19,2,17.22,26.85,Cloudy,20.3,93,7421,Dry,302,21,968,No,No,407,253,471,Low,Low Flow
1187,SEN_018,RS_020,INT_029,01/01/2024 19:46,Monday,19,No,1653,24.07,85.82,89.52,204.38,185.02,2,44.05,90.61,Rain,35.4,87.4,8881,Dry,118,23,1429,No,No,1601,1520,1536,Severe,Very High Flow
1188,SEN_108,RS_050,INT_036,01/01/2024 19:47,Monday,19,No,218,84.08,14.53,9.55,83.43,25.63,6,10.99,7.77,Rain,38.8,87.9,8752,Dry,95,9,1053,No,No,158,293,234,Low,Low Flow
1189,SEN_063,RS_048,INT_048,01/01/2024 19:48,Monday,19,No,1614,51.71,86.35,87.84,229.06,152.73,4,16.8,72.35,Cloudy,38.7,46.9,8046,Dry,73,26,1550,No,No,1522,1592,1754,Severe,Very High Flow
1190,SEN_057,RS_007,INT_014,01/01/2024 19:49,Monday,19,No,924,57.32,40.97,46.48,132.52,101.56,6,7.54,44.27,Rain,23.1,78.7,1268,Dry,129,20,605,No,No,872,946,990,High,High Flow
1191,SEN_016,RS_065,INT_049,01/01/2024 19:50,Monday,19,No,338,83.86,6.71,21.02,93.26,30.04,5,5,14.62,Rain,18.5,66.3,6988,Dry,96,11,845,No,Yes,427,174,555,Low,Low Flow
1192,SEN_106,RS_037,INT_019,01/01/2024 19:51,Monday,19,No,1776,41.84,88.49,99.87,227.91,194.53,6,16.27,93.55,Windy,27.5,67.2,8202,Dry,64,12,1217,No,No,1800,1741,1800,Severe,Very High Flow
1193,SEN_035,RS_024,INT_033,01/01/2024 19:52,Monday,19,No,981,57.46,53.54,56.37,162.2,95.2,6,12.6,41.61,Rain,21,40.8,3969,Wet,176,23,1405,No,No,1058,1110,1080,High,High Flow
1194,SEN_006,RS_033,INT_027,01/01/2024 19:53,Monday,19,No,769,77.25,37.46,45.92,143.89,85.4,5,8.45,49.29,Windy,27.4,59.6,952,Dry,187,27,984,No,No,711,716,614,Moderate,Medium Flow
1195,SEN_106,RS_055,INT_003,01/01/2024 19:54,Monday,19,No,89,85.82,5,7.42,62.65,28.78,4,7.62,20.03,Cloudy,30.6,62,4687,Dry,105,21,742,No,No,104,104,50,Low,Low Flow
1196,SEN_040,RS_068,INT_007,01/01/2024 19:55,Monday,19,No,340,92.35,12.47,13.36,79.42,30.51,4,5,21.4,Clear,37.2,74.7,3862,Dry,447,5,503,No,No,381,325,441,Low,Low Flow
1197,SEN_025,RS_034,INT_036,01/01/2024 19:56,Monday,19,No,1753,30.1,81.75,96.26,241.89,193.92,6,14.58,97.04,Clear,36.4,69.1,8442,Dry,138,26,1336,No,No,1687,1800,1800,Severe,Very High Flow
1198,SEN_136,RS_080,INT_024,01/01/2024 19:57,Monday,19,No,251,81.21,9.49,12.98,87.82,45.35,6,5,17.71,Clear,15.5,46,2705,Dry,425,12,1206,No,No,359,80,409,Low,Low Flow
1199,SEN_102,RS_003,INT_018,01/01/2024 19:58,Monday,19,No,977,61.18,43.05,59.79,169.18,112.51,6,8.5,50.81,Windy,17.1,34.2,7882,Dry,327,20,893,Yes,No,945,903,1151,High,High Flow
1200,SEN_038,RS_049,INT_005,01/01/2024 19:59,Monday,19,No,92,87.13,5.33,10.97,88.53,24.34,4,5,15.35,Clear,41.2,84.8,4620,Dry,22,19,780,Yes,No,203,50,230,Low,Low Flow
1201,SEN_124,RS_012,INT_019,01/01/2024 20:00,Monday,20,No,1271,57.98,60.81,68.91,198.48,149.74,5,14.5,86.51,Clear,23.5,70.1,2784,Dry,249,25,768,No,No,1378,1149,1355,High,High Flow
1202,SEN_057,RS_048,INT_049,01/01/2024 20:01,Monday,20,No,1745,60.53,90.42,92.98,228.47,195.12,4,18.7,105.36,Fog,38.8,66.3,3972,Dry,255,24,463,No,No,1708,1784,1800,Severe,Very High Flow
1203,SEN_071,RS_043,INT_014,01/01/2024 20:02,Monday,20,No,1699,44.19,80.07,95.02,233.5,196.59,4,23.28,101.38,Clear,20.5,42,1322,Dry,116,23,1548,No,No,1604,1655,1504,Severe,Very High Flow
1204,SEN_132,RS_041,INT_041,01/01/2024 20:03,Monday,20,No,400,78.72,21.28,20.95,95.44,53.19,5,5,28.87,Clear,38.1,92,8276,Dry,341,3,1258,Yes,No,487,307,263,Low,Low Flow
1205,SEN_005,RS_042,INT_023,01/01/2024 20:04,Monday,20,No,1422,42.79,70.91,78.67,202.96,166.36,5,16.86,81.84,Rain,16.7,75.4,1777,Dry,88,15,1253,No,No,1465,1328,1182,Severe,Very High Flow
1206,SEN_050,RS_040,INT_023,01/01/2024 20:05,Monday,20,No,1716,29.63,87.78,100.2,234.71,206.87,5,20.14,107.58,Clear,19.1,73.1,8313,Wet,185,24,1384,No,No,1602,1559,1775,Severe,Very High Flow
1207,SEN_099,RS_070,INT_029,01/01/2024 20:06,Monday,20,No,408,85.36,23.08,23.74,89.25,35.43,5,5,14.3,Clear,36.9,54.2,815,Dry,75,19,119,No,No,360,486,645,Low,Low Flow
1208,SEN_010,RS_053,INT_006,01/01/2024 20:07,Monday,20,No,864,62.03,46.42,46.08,149.34,92.88,4,10.43,35.22,Clear,38.7,62.5,712,Dry,79,21,1624,No,No,904,890,1075,Moderate,Medium Flow
1209,SEN_037,RS_048,INT_050,01/01/2024 20:08,Monday,20,No,856,81.17,46.95,44.92,146.44,100.59,4,8.96,46.52,Cloudy,28.5,79.5,8634,Dry,188,25,649,No,No,921,895,651,Moderate,Medium Flow
1210,SEN_003,RS_052,INT_004,01/01/2024 20:09,Monday,20,No,990,66.92,52.21,49.26,149.22,91.69,3,15.89,44.92,Clear,20.2,53.4,5772,Dry,126,14,1544,No,No,1109,975,1186,High,High Flow
1211,SEN_064,RS_019,INT_026,01/01/2024 20:10,Monday,20,No,1653,44.82,84.14,94.08,230.36,181.33,4,23.33,84.12,Clear,34.3,91.6,397,Dry,412,21,767,No,No,1650,1573,1428,Severe,Very High Flow
1212,SEN_014,RS_029,INT_040,01/01/2024 20:11,Monday,20,No,1522,48.88,72.77,85.68,208.66,172.04,6,14.48,91.17,Cloudy,18.2,54.9,5966,Dry,27,20,295,No,No,1554,1586,1547,Severe,Very High Flow
1213,SEN_053,RS_042,INT_020,01/01/2024 20:12,Monday,20,No,1709,43.6,89.7,97.2,244.58,205.15,5,20.39,98.4,Clear,33,53.4,4376,Wet,338,7,222,No,No,1716,1590,1800,Severe,Very High Flow
1214,SEN_030,RS_036,INT_018,01/01/2024 20:13,Monday,20,No,1198,51.6,56.42,66.49,169.96,124.83,3,18.2,67.17,Cloudy,32,60.3,6079,Dry,352,28,1636,No,No,1227,1254,1214,High,High Flow
1215,SEN_146,RS_070,INT_012,01/01/2024 20:14,Monday,20,No,1684,31.38,82.74,89.33,232.07,171.48,4,15.19,89.26,Clear,27.7,67.7,7164,Dry,144,27,270,No,No,1725,1790,1515,Severe,Very High Flow
1216,SEN_137,RS_057,INT_036,01/01/2024 20:15,Monday,20,No,397,75.35,15.54,22.28,104.77,26.06,3,5.16,13.01,Windy,31.7,56.7,6495,Dry,108,20,900,No,No,317,569,199,Low,Low Flow
1217,SEN_141,RS_061,INT_034,01/01/2024 20:16,Monday,20,No,315,80.89,11.34,22.06,102.04,36.16,3,7.82,20.03,Windy,33.1,40.6,9522,Wet,358,8,108,No,No,209,363,484,Low,Low Flow
1218,SEN_022,RS_055,INT_027,01/01/2024 20:17,Monday,20,No,413,74.31,19.06,23.18,104.53,54.23,4,8.06,30.79,Clear,30.4,57.2,5748,Wet,58,25,1571,No,Yes,357,456,206,Low,Low Flow
1219,SEN_117,RS_043,INT_041,01/01/2024 20:18,Monday,20,No,455,69.28,21.58,31.85,125.44,55.68,3,5,27.08,Cloudy,17.4,70.6,4643,Dry,113,27,1156,No,No,555,500,290,Moderate,Medium Flow
1220,SEN_007,RS_075,INT_007,01/01/2024 20:19,Monday,20,No,1562,40.88,74.03,87.79,213.52,165.06,4,23.09,91.33,Clear,16.8,34.5,3515,Wet,292,22,646,No,No,1513,1466,1572,Severe,Very High Flow
1221,SEN_005,RS_039,INT_023,01/01/2024 20:20,Monday,20,No,1240,60.79,62.11,76.76,204.45,149.94,4,12.52,68.01,Cloudy,41.6,88.5,2095,Dry,124,11,936,No,No,1346,1349,1224,High,High Flow
1222,SEN_024,RS_047,INT_003,01/01/2024 20:21,Monday,20,No,667,75.43,34.13,45.25,138.26,86.72,2,17.19,41.08,Clear,37.1,64.3,6575,Dry,297,27,1371,No,No,604,615,830,Moderate,Medium Flow
1223,SEN_044,RS_017,INT_046,01/01/2024 20:22,Monday,20,No,1650,43.89,79.78,88.08,222.26,184.2,4,17.44,92.08,Clear,25.3,65.8,5645,Dry,203,18,643,No,No,1655,1511,1565,Severe,Very High Flow
1224,SEN_003,RS_045,INT_021,01/01/2024 20:23,Monday,20,No,592,76.61,41.05,30.3,101.95,48.32,4,17.3,35.04,Windy,35.6,73.1,6166,Dry,363,21,532,No,No,528,517,557,Moderate,Medium Flow
1225,SEN_116,RS_059,INT_050,01/01/2024 20:24,Monday,20,No,1399,43.24,71.61,75.89,191.21,135.93,5,14.23,63.64,Clear,15,51.4,9229,Dry,66,28,867,No,No,1308,1558,1625,High,High Flow
1226,SEN_016,RS_042,INT_039,01/01/2024 20:25,Monday,20,No,1423,44.57,71.74,72.22,204.04,155.66,4,13.79,86.49,Windy,28.4,50.1,8789,Dry,110,12,154,No,No,1348,1267,1316,Severe,Very High Flow
1227,SEN_032,RS_038,INT_028,01/01/2024 20:26,Monday,20,No,997,63.38,46.47,57.24,173.69,119.41,3,19.4,56.42,Clear,15,45.9,3517,Dry,271,13,827,No,No,913,842,982,High,High Flow
1228,SEN_116,RS_001,INT_009,01/01/2024 20:27,Monday,20,No,1675,36.12,84.44,94.8,243.83,177.57,4,17.26,93.6,Clear,27.4,85.4,1347,Dry,204,2,1124,No,No,1569,1544,1578,Severe,Very High Flow
1229,SEN_075,RS_063,INT_010,01/01/2024 20:28,Monday,20,No,1452,49.16,73.8,81.44,215.71,174.33,6,11.17,86.06,Cloudy,34.9,69.4,4065,Dry,298,12,1629,No,No,1495,1419,1238,Severe,Very High Flow
1230,SEN_096,RS_009,INT_016,01/01/2024 20:29,Monday,20,No,952,55.22,47.58,47.99,141.32,76.16,5,13.36,32.05,Rain,29.6,32.2,5996,Dry,374,11,956,No,No,1000,822,1168,High,High Flow
1231,SEN_079,RS_018,INT_015,01/01/2024 20:30,Monday,20,No,1332,42.05,73.69,80.35,200.56,169.91,4,17.32,91.31,Clear,23.5,51.3,2979,Wet,172,3,1368,No,No,1341,1424,1493,High,High Flow
1232,SEN_003,RS_020,INT_046,01/01/2024 20:31,Monday,20,No,349,84.45,8.94,11.87,89.28,34.97,4,5,16.34,Cloudy,36.1,36,3202,Dry,40,21,415,Yes,No,264,370,293,Low,Low Flow
1233,SEN_095,RS_019,INT_040,01/01/2024 20:32,Monday,20,No,877,71.11,41.95,43.43,146.81,102.05,2,17.96,46.97,Clear,35.4,39.1,7971,Wet,419,12,1352,No,No,909,820,956,Moderate,Medium Flow
1234,SEN_047,RS_021,INT_024,01/01/2024 20:33,Monday,20,No,1394,46.39,73.27,80.99,216.87,150.04,3,30.21,73.29,Rain,36.9,69.9,7411,Dry,62,5,1261,No,No,1418,1367,1429,High,High Flow
1235,SEN_103,RS_024,INT_036,01/01/2024 20:34,Monday,20,No,804,57.91,35.72,45.93,144.22,91.54,3,7.99,39.41,Clear,31.1,34.3,7045,Dry,103,21,1394,No,No,699,974,891,Moderate,Medium Flow
1236,SEN_062,RS_065,INT_027,01/01/2024 20:35,Monday,20,No,1268,40.52,55.67,67.99,181.86,121.16,4,12.13,57.96,Clear,34.8,90.7,4743,Wet,135,7,405,No,Yes,1300,1281,1407,High,High Flow
1237,SEN_104,RS_005,INT_024,01/01/2024 20:36,Monday,20,No,84,98.65,5,5,78.57,24.19,5,5,12.17,Clear,37.3,76.9,4617,Dry,68,19,1600,No,No,202,50,50,Low,Low Flow
1238,SEN_108,RS_032,INT_029,01/01/2024 20:37,Monday,20,No,930,64.1,51.72,52.18,141.71,111.06,6,5,57.4,Rain,26,86.9,435,Dry,449,16,978,No,No,921,973,835,High,High Flow
1239,SEN_045,RS_047,INT_039,01/01/2024 20:38,Monday,20,No,1482,44.01,69.74,87.04,215.33,174.94,4,17.99,93.09,Cloudy,28.1,94.6,5042,Dry,298,11,209,No,No,1446,1645,1538,Severe,Very High Flow
1240,SEN_027,RS_033,INT_024,01/01/2024 20:39,Monday,20,No,157,83.33,6.07,5,66.94,2.2,3,5.67,3.38,Clear,31.9,48.5,510,Dry,277,28,1615,No,No,262,205,50,Low,Low Flow
1241,SEN_111,RS_024,INT_015,01/01/2024 20:40,Monday,20,No,1513,35.29,77.76,85.22,211.43,168.27,2,43.96,69.54,Cloudy,28.1,78.9,5660,Dry,137,9,811,No,No,1404,1573,1610,Severe,Very High Flow
1242,SEN_042,RS_052,INT_012,01/01/2024 20:41,Monday,20,No,653,75.06,29.75,40.59,143.67,81.5,3,11.65,44.19,Cloudy,18,69.3,394,Dry,110,10,1693,No,No,697,765,749,Moderate,Medium Flow
1243,SEN_047,RS_053,INT_046,01/01/2024 20:42,Monday,20,No,211,95.97,8.35,7.73,78.86,27.49,2,5,8.09,Clear,41.9,91.5,5852,Dry,430,28,1102,No,No,296,332,50,Low,Low Flow
1244,SEN_086,RS_065,INT_044,01/01/2024 20:43,Monday,20,No,680,65.87,30.74,37.57,128.62,82.3,3,5.79,42.57,Cloudy,39,76.9,2250,Dry,208,8,1135,No,No,784,653,904,Moderate,Medium Flow
1245,SEN_036,RS_069,INT_040,01/01/2024 20:44,Monday,20,No,1145,71.59,54.41,63.38,161.86,123.41,4,22.61,64.19,Rain,37.2,65.2,8991,Dry,210,10,1482,No,No,1093,1197,1054,High,High Flow
1246,SEN_100,RS_067,INT_002,01/01/2024 20:45,Monday,20,No,168,84.5,5,5,59.93,2.13,2,5.94,6.75,Clear,39.5,32.7,7092,Dry,286,8,751,No,No,255,164,267,Low,Low Flow
1247,SEN_110,RS_056,INT_003,01/01/2024 20:46,Monday,20,No,481,86.26,22.76,27.89,116.67,60.32,5,9.22,34.44,Cloudy,21.7,52.6,4873,Wet,30,14,1147,No,No,457,371,254,Moderate,Medium Flow
1248,SEN_132,RS_035,INT_026,01/01/2024 20:47,Monday,20,No,375,81.13,24.07,22.24,102.07,52.96,4,6.95,23.68,Cloudy,36.3,45.3,5792,Dry,416,18,1437,No,No,392,548,212,Low,Low Flow
1249,SEN_131,RS_036,INT_009,01/01/2024 20:48,Monday,20,No,1398,51.89,77.81,83.65,220.4,178.02,3,29.53,96.62,Clear,22.3,41.8,4737,Dry,118,11,994,No,No,1415,1375,1472,High,High Flow
1250,SEN_016,RS_031,INT_005,01/01/2024 20:49,Monday,20,No,695,81.21,41,38.53,123.65,68.41,4,9.74,31.49,Rain,38.9,56.7,3605,Dry,444,21,1211,No,No,780,660,489,Moderate,Medium Flow
1251,SEN_018,RS_075,INT_024,01/01/2024 20:50,Monday,20,No,1629,48.15,82.14,92.25,226.4,181.12,2,37.31,86.3,Cloudy,19.4,63.1,1620,Dry,91,5,1287,No,Yes,1543,1479,1674,Severe,Very High Flow
1252,SEN_124,RS_017,INT_007,01/01/2024 20:51,Monday,20,No,879,67.13,52.24,54.72,157.16,116.32,5,6.68,62.95,Clear,40.3,57.4,7781,Dry,403,14,534,No,No,971,1041,1120,Moderate,Medium Flow
1253,SEN_032,RS_010,INT_008,01/01/2024 20:52,Monday,20,No,1794,27.09,100,97.1,241.86,188.06,5,19.81,96.57,Clear,27.2,47.9,4444,Dry,31,3,1060,No,Yes,1730,1701,1800,Severe,Very High Flow
1254,SEN_126,RS_042,INT_035,01/01/2024 20:53,Monday,20,No,1740,31.24,87.91,91.94,241.99,186.67,3,29.8,92.78,Clear,23.6,75.3,8467,Wet,32,12,80,No,No,1774,1741,1800,Severe,Very High Flow
1255,SEN_048,RS_077,INT_025,01/01/2024 20:54,Monday,20,No,501,78.44,20.1,28.32,106.48,57.89,3,7.38,33.09,Rain,39.7,49.6,7447,Dry,114,8,366,Yes,No,563,497,257,Moderate,Medium Flow
1256,SEN_017,RS_020,INT_007,01/01/2024 20:55,Monday,20,No,1126,66.64,62.86,61.77,154.89,117.14,4,11.65,57.35,Clear,37,63.4,3968,Wet,140,8,1664,No,No,1115,1164,1197,High,High Flow
1257,SEN_108,RS_061,INT_012,01/01/2024 20:56,Monday,20,No,654,72.08,26.68,35.97,128.64,85.76,3,9.68,43.72,Rain,34.3,83.7,7058,Wet,156,16,314,No,No,730,768,874,Moderate,Medium Flow
1258,SEN_076,RS_040,INT_008,01/01/2024 20:57,Monday,20,No,222,80.11,6.67,10.64,82.47,20.95,4,5,17.36,Clear,28.3,56.2,6948,Dry,179,7,745,Yes,Yes,190,233,168,Low,Low Flow
